epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,3560.71,1.20433,0.59328,0.98416,0.80695,0.70369,0.75926,0.35644,2.06515,0.88748,1.41224,0.000959316,0.000959316,0.000959316
168,3582.24,1.1886,0.58432,0.97179,0.84593,0.69288,0.79929,0.35994,2.0426,0.87605,1.3851,0.000956487,0.000956487,0.000956487
169,3602.87,1.21983,0.60314,0.98149,0.75664,0.77753,0.7811,0.3679,2.05708,0.89139,1.40078,0.000953657,0.000953657,0.000953657
170,3623.3,1.23299,0.60371,0.99574,0.79963,0.71289,0.77168,0.36209,2.069,0.89725,1.42613,0.000950828,0.000950828,0.000950828
171,3644.22,1.23004,0.60073,0.98274,0.79705,0.7168,0.76859,0.32795,2.08553,0.89549,1.42182,0.000947999,0.000947999,0.000947999
172,3663.89,1.21979,0.5981,0.98165,0.75105,0.74672,0.76677,0.34008,2.05907,0.90911,1.39702,0.000945169,0.000945169,0.000945169
173,3685.13,1.17449,0.57978,0.96931,0.79012,0.76098,0.78374,0.35529,2.08214,0.88137,1.40713,0.00094234,0.00094234,0.00094234
174,3706.62,1.18293,0.58667,0.9809,0.74481,0.73354,0.75134,0.33615,2.09526,0.89043,1.41772,0.00093951,0.00093951,0.00093951
175,3727.51,1.18753,0.58492,0.97185,0.78916,0.72132,0.76988,0.34999,2.0908,0.89098,1.40874,0.000936681,0.000936681,0.000936681
176,3748.94,1.19335,0.58711,0.96838,0.84137,0.71211,0.77943,0.34584,2.06529,0.86933,1.39724,0.000933851,0.000933851,0.000933851
177,3770.18,1.17656,0.57972,0.97024,0.80892,0.73733,0.76514,0.34009,2.07686,0.90504,1.40743,0.000931022,0.000931022,0.000931022
178,3791.01,1.17876,0.58275,0.97371,0.82543,0.73869,0.77858,0.35322,2.06499,0.88519,1.40902,0.000928193,0.000928193,0.000928193
